STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2014,,217114,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2013,,219484,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2012,,220361,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2011,,219701,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2010,,218384,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2009,,216736,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2008,,214907,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2007,,212981,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2006,,210536,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2005,,207396,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2004,,204294,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2003,,201146,,CHL,Chile,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_LAB@DF_TYPE_RURB(2.0),Labour indicators by urban-rural territorial typology,I,A,Annual,CTRY,Country,CHL,Chile,IN,Intermediate region,POP,Population,Y15T24,From 15 to 24 years,F,Female,PS,Persons,2002,,199224,,CHL,Chile,A,Normal value,0,Units,0,Zero
