STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,VARIABLE_CATEGORY,Variable category,SIGI_FRAMEWORK,SIGI Framework,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,POP_BASE,Population base,CALC_METHOD,Calculation method,SDG_SERIES,SDG indicator
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BLZ,Belize,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BEN,Benin,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BTN,Bhutan,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BWA,Botswana,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BRN,Brunei Darussalam,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BDI,Burundi,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CPV,Cabo Verde,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,KHM,Cambodia,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CMR,Cameroon,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CAF,Central African Republic,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,TCD,Chad,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,COM,Comoros,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,COG,Congo,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CIV,Côte d’Ivoire,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CUB,Cuba,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RCL_PV,Political voice,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
