country,year,wage_gap,education_gap,employment_gap,native_gap,immigrant_gap,gdp_pc,part_time_gap
Denmark,2012,12.62362386,-10.509013999999995,6.302948000000001,5.060981749999996,8.751586919999994,131.537114,-26.982
Denmark,2013,12.18378486,-10.348727999999998,6.596655999999996,4.44029999,7.583580019999999,131.387192,-28.675999999999995
Denmark,2014,11.35600655,-9.736468999999996,7.480087999999995,5.003555290000008,12.83655548,130.309545,-26.536
Denmark,2015,10.75408941,-10.738943,8.369979999999998,5.159011840000005,12.688713069999991,129.571256,-26.934
Denmark,2016,10.47011959,-9.443636999999995,8.071076000000005,4.581298829999994,9.828918450000003,130.841265,-23.424000000000007
Denmark,2017,10.01975998,-10.799172,7.252769999999998,4.372047429999995,11.084030150000004,131.17647,-23.32
Denmark,2018,12.74981083,-11.371468,7.554795000000013,4.199996949999999,12.0,130.660143,-26.686000000000007
Denmark,2019,9.45677519,-10.962004999999998,7.6991430000000065,4.87454987000001,13.29031372,130.915093,-24.989999999999995
Denmark,2020,9.096764476,-10.392006000000002,7.520684000000003,5.100006100000002,10.599998479999996,134.169197,-24.40000000000001
Denmark,2021,9.234754363,-11.875942000000002,7.0435250000000025,5.314796449999989,11.488464359999996,134.375591,-23.992000000000004
Denmark,2022,8.961374028,-13.749759669999996,5.683525079999996,4.219238279999999,7.867874139999998,130.425974,-24.02200000000001
Denmark,2023,8.42383165,-12.96750641,6.244560239999998,4.279739380000009,7.710868840000003,128.927353,-25.382000000000005
Estonia,2010,28.84017498,-17.296471,1.3405599999999964,5.744789130000001,5.346893309999999,69.596818,-35.772
Estonia,2011,29.089078065000002,-17.072478000000004,5.717101999999997,6.095870970000007,10.706863400000003,73.997594,-41.062000000000005
Estonia,2012,29.33798115,-16.943165,5.830337999999998,6.611785890000007,10.805435180000003,76.384996,-42.824000000000005
Estonia,2013,29.586884235,-17.701138000000004,6.793518000000006,6.849655150000004,7.049369810000002,77.170942,-37.49799999999999
Estonia,2014,29.83578732,-17.694002,8.454887,7.422698969999999,12.504348750000004,78.764251,-31.652
Estonia,2015,28.380926645000002,-19.029688,7.389731999999995,7.112304690000002,9.762313840000004,78.80475,-38.19
Estonia,2016,26.926065970000003,-18.910282,8.060203000000001,8.091613769999995,13.213958739999995,80.082596,-31.454
Estonia,2017,25.471205295,-19.344331,6.997467,6.9968109200000015,12.64279938,82.83743,-35.27
Estonia,2018,24.01634462,-20.316840000000003,7.389167999999998,6.800003050000001,8.200004579999998,84.194628,-35.308
Estonia,2019,23.7828957625,-20.83,7.302963000000005,6.187034610000012,7.346534730000002,86.002166,-35.5
Estonia,2020,23.549446905000003,-20.401844,5.9012599999999935,4.506332389999997,3.3472366299999976,87.073236,-31.076
Estonia,2021,23.315998047500003,-21.498821,3.9704210000000018,3.82141876,10.883193969999994,88.940878,-36.22200000000001
Estonia,2022,23.08254919,-22.699179,3.859741,2.0119018599999947,12.052459720000002,85.533795,-37.374
Estonia,2023,25.60711012,-22.39359474,2.8382492100000007,0.0284500100000002,10.581382750000005,80.258031,-33.668000000000006
Finland,2010,20.60851285,-11.553450999999995,3.371330999999998,3.008346559999993,15.716384879999993,121.121148,-28.226
Finland,2011,22.14216374,-12.701343,4.028564000000003,4.354492190000002,9.463226320000004,121.64134,-25.582
Finland,2012,21.08223102,-12.875236,3.128304,3.2365798900000016,12.001129149999995,118.306031,-27.334000000000003
Finland,2013,21.83030478,-12.943965999999996,3.452315999999996,2.925331119999996,11.903892509999991,115.337903,-29.252
Finland,2014,21.62710078,-13.260308000000002,2.427970000000002,2.2971420300000034,12.622184750000002,112.52469,-28.532000000000004
Finland,2015,20.56484892,-13.074982000000006,2.5765990000000016,1.9946060100000125,12.832992559999994,110.491068,-23.956000000000003
Finland,2016,19.13298896,-14.26547241,3.781089779999988,2.8903884900000065,13.608161929999994,111.634884,-26.298
Finland,2017,19.42833015,-15.515934,3.358704000000003,2.724639889999992,15.74178314000001,112.636482,-25.16
Finland,2018,21.48266935,-15.605990999999996,3.9119730000000033,2.4000015299999973,13.69999695,111.852105,-27.126000000000005
Finland,2019,20.46000687,-14.931484999999997,2.555664000000008,2.613929740000003,11.949729919999996,112.006906,-28.828000000000003
Finland,2020,18.41404903,-16.051372999999998,2.934875000000005,3.309410099999994,10.888626099999996,114.022266,-23.724000000000004
Finland,2021,18.8823117,-15.214627,1.592995000000002,1.8575057900000047,13.161972039999997,110.348696,-23.738
Finland,2022,18.74048835,-14.174915309999996,1.4320144699999986,0.8727951099999984,7.681175240000002,108.098964,-24.422
Finland,2023,18.78865167,-15.128849029999998,0.2316436699999968,0.4547424300000102,5.631767279999991,105.568918,-24.83
France,2010,16.29466364,-3.406020999999999,9.383629,7.592941279999991,17.57780455999999,115.45233,-57.45
France,2011,16.30272105,-3.3850929999999977,9.449378999999992,7.264289860000005,16.766407020000003,115.990188,-56.368
France,2012,16.31077846,-3.71322,9.119788999999995,7.402709959999996,19.150379189999995,114.77067,-56.786
France,2013,16.31883587,-3.977957000000004,8.327347000000003,6.66921997,20.93633652,113.846712,-55.592000000000006
France,2014,16.32689328,-4.577416,7.755684000000002,6.760040289999992,17.020980840000007,112.626195,-53.166
France,2015,16.59054999,-5.034024999999996,7.570205999999999,6.465110769999996,17.93462753,111.124903,-52.568000000000005
France,2016,16.8542067,-4.7025409999999965,7.796942999999999,6.10370635999999,18.12904358000001,110.285461,-51.786
France,2017,17.117863410000002,-4.776947,8.326363,6.32945251000001,18.93707275,109.778853,-51.048
