country,year,native_gap,immigrant_gap,overall_gap
Estonia,2017,6.9968109200000015,12.64279938,9.819805149999993
Estonia,2018,6.800003050000001,8.200004579999998,7.500003814999985
Estonia,2019,6.187034610000012,7.346534730000002,6.766784670000007
Estonia,2020,4.506332389999997,3.3472366299999976,3.9267845099999903
Estonia,2021,3.8214187600000002,10.883193969999994,7.35230636499999
Estonia,2022,2.0119018599999947,12.052459720000002,7.032180790000012
Estonia,2023,0.028450010000000248,10.581382750000003,5.3049163799999945
Estonia,2024,-0.18817902000000686,8.73013306,4.270977020000004
European Union (27 countries from 01/02/2020),2022,8.806961049999998,16.77411651,12.790538779999991
European Union (27 countries from 01/02/2020),2023,8.359077450000001,16.21923065,12.289154049999993
Finland,2000,5.176849359999991,29.208251950000005,17.192550655000005
Finland,2001,4.556976309999996,19.36800384,11.962490074999991
Finland,2002,4.271575930000012,12.07619477,8.173885350000006
Finland,2003,4.271644590000008,15.095664979999995,9.683654785000002
Finland,2004,3.781044009999988,20.426467889999998,12.103755949999993
Finland,2005,3.5227050799999944,15.20862579,9.365665435000011
Finland,2006,3.4421234099999936,12.151809689999993,7.796966549999993
Finland,2007,3.2567672699999974,10.189987180000003,6.723377225000007
Finland,2008,3.701370240000003,10.040489189999988,6.870929715000003
Finland,2009,2.8116149899999954,7.317634589999997,5.064624789999996
Finland,2010,3.0083465599999926,15.716384879999993,9.36236572
Finland,2011,4.354492190000002,9.463226320000004,6.90885925500001
Finland,2012,3.2365798900000016,12.001129149999997,7.6188545200000135
Finland,2013,2.9253311199999956,11.903892509999991,7.414611815000001
Finland,2014,2.2971420300000034,12.622184750000002,7.459663390000003
Finland,2015,1.9946060100000125,12.832992559999994,7.41379928500001
Finland,2016,2.8903884900000065,13.608161929999994,8.249275209999993
Finland,2017,2.7246398899999917,15.74178314000001,9.233211514999994
Finland,2018,2.4000015299999973,13.69999695,8.049999240000005
Finland,2019,2.613929740000003,11.949729919999996,7.281829829999992
Finland,2020,3.309410099999994,10.888626099999996,7.099018099999995
Finland,2021,1.8575057900000047,13.161972039999995,7.509738915000014
Finland,2022,0.8727951099999984,7.681175240000002,4.276985174999993
Finland,2023,0.45474243000001024,5.631767279999991,3.0432548550000007
Finland,2024,0.4846801700000043,12.131919859999996,6.308300014999986
France,2000,11.650821690000008,19.165386200000007,15.408103945000008
France,2001,11.542137139999994,20.1922493,15.867193219999997
France,2002,11.553245540000006,20.760471340000002,16.156858440000008
France,2003,10.251502990000006,17.57757949999999,13.914541244999995
France,2004,10.214775079999995,18.629020689999997,14.421897885000007
France,2005,9.353759759999988,18.7188034,14.036281579999994
France,2006,8.83950806,19.801383970000003,14.320446015000002
France,2007,8.294410709999994,17.979076380000002,13.136743545000002
France,2008,7.672760010000005,19.571937559999995,13.622348785000007
France,2009,7.752899169999992,17.365676879999995,12.559288024999987
France,2010,7.592941279999991,17.57780455999999,12.585372919999983
France,2011,7.264289860000005,16.766407020000003,12.015348440000004
France,2012,7.402709959999996,19.150379189999995,13.276544574999988
France,2013,6.66921997,20.936336519999998,13.802778244999999
France,2014,6.760040289999992,17.020980840000007,11.890510565000007
France,2015,6.4651107699999955,17.93462753,12.199869150000005
France,2016,6.10370635999999,18.12904358000001,12.116374969999995
France,2017,6.32945251000001,18.93707275,12.633262630000004
France,2018,5.700004579999998,19.099998479999996,12.400001529999997
France,2019,5.243492130000007,18.526267999999995,11.88488006499999
France,2020,3.6628875700000094,18.025905610000002,10.844396590000017
France,2021,4.451507570000004,16.931861880000007,10.691684725000002
France,2022,4.216438289999999,16.372295379999997,10.294366835000005
France,2023,3.951332090000008,15.297988890000006,9.624660489999997
France,2024,4.19139100000001,15.848491669999994,10.019941334999999
Germany,2000,14.495986940000009,21.210453039999997,17.85321999
Germany,2001,13.782127380000006,20.21958542000001,17.000856400000004
Germany,2002,13.113922119999998,19.46811293999999,16.29101752999999
Germany,2003,12.469429020000007,19.64839935,16.058914185000006
Germany,2004,12.14334869999999,20.08314132000001,16.113245010000007
Germany,2005,11.85038757000001,20.982372279999993,16.416379925
