country,year,wage_gap,education_gap,employment_gap,native_gap,immigrant_gap,overall_gap,gdp_pc,part_time_gap
France,2017,,-4.776947,8.326363,6.32945251000001,18.93707275,12.633262630000004,109.778853,-51.048
France,2018,17.38152012,-5.231625000000001,7.939858000000001,5.700004579999998,19.09999848,12.400001529999995,109.163153,-49.72800000000001
France,2019,,-5.444626,7.556999000000005,5.243492130000007,18.526267999999995,11.88488006499999,109.726342,-49.414
France,2020,,-5.802776999999999,7.453254999999999,3.6628875700000094,18.02590561,10.844396590000017,105.84265,-48.602
France,2021,,-5.798415999999996,6.713204000000005,4.451507570000004,16.931861880000007,10.691684725000002,106.346203,-47.988
France,2022,13.02726273,-6.30522156,6.480690009999989,4.216438289999999,16.372295379999997,10.294366835000003,106.090255,-46.156000000000006
France,2023,10.21883723,-6.582046509999998,6.132057189999998,3.951332090000008,15.297988890000006,9.624660489999997,106.213522,-45.69
Germany,2010,17.16324637,6.445418999999998,11.350693000000009,9.2976532,21.70848083,15.503067015,126.776643,-65.362
Germany,2011,22.05899117,5.295268999999998,11.070137000000004,8.257438660000005,19.39790726,13.82767296,129.63521,-63.852
Germany,2012,19.05897491,4.737955000000003,11.094764999999995,8.95858002,19.79515839,14.376869204999991,129.060484,-63.35
Germany,2013,18.90548746,4.233731000000002,10.308144,8.185150149999998,19.285804740000003,13.735477445000017,127.950902,-62.362
Germany,2014,19.40975,6.783276000000001,9.909958000000003,7.681358339999988,19.04590607,13.363632205000002,128.333914,-61.846
Germany,2015,17.9959007,6.385516999999997,9.426956000000004,7.030860900000008,18.67099762000001,12.85092926,127.010764,-61.78399999999999
Germany,2016,19.16267032,6.083396999999998,8.998374999999996,6.7170104999999865,16.694816590000002,11.705913545,127.417361,-61.062000000000005
Germany,2017,16.84782112,5.651394,8.850241999999994,6.509857179999997,15.8898468,11.199851990000012,127.964542,-60.17
Germany,2018,18.58741694,5.210725,8.75,6.599998470000003,16.900001520000004,11.749999994999996,127.001724,-60.338
Germany,2019,17.328814,5.137059999999998,8.602729999999994,6.388717650000004,17.36538696000001,11.877052305000008,126.763753,-59.548
Germany,2020,16.79650079,4.530874000000001,6.64110500000001,5.838729860000001,16.940025329999997,11.389377595000012,127.201323,-57.97
Germany,2021,18.74655433,4.180824000000001,7.954216000000002,5.671165460000012,17.36486817000001,11.51801681500001,125.024935,-56.50399999999999
Germany,2022,18.51478393,4.095458990000001,8.417640689999999,5.208625789999999,18.037300110000004,11.622962950000002,123.288623,-55.636
Germany,2023,17.33614406,3.8263836,8.268104550000004,4.740211490000007,17.815956110000002,11.27808380000002,119.831354,-54.644000000000005
Greece,2010,17.08334338,0.3977140000000005,25.144589000000003,20.487987520000004,28.20707321,24.347530365,84.856675,-34.774
Greece,2011,,0.2601700000000022,23.031204,19.37532043,28.02111817,23.698219300000005,75.470759,-28.617999999999995
Greece,2012,,-0.0279319999999998,20.722107,17.7016182,27.24463653,22.473127365000003,69.025172,-29.111999999999995
Greece,2013,,-0.1944080000000028,20.361412,17.934310910000008,25.11639405,21.52535248,67.207371,-26.604
Greece,2014,13.84178589,-0.8198829999999973,19.14843299999999,16.488113409999997,23.16113281,19.82462311,67.137876,-23.123999999999995
Greece,2015,,-2.066806999999997,19.188832,15.401142120000005,22.888229370000005,19.144685745000004,66.118152,-24.47
Greece,2016,,-3.397092999999998,20.29874,15.09680557,22.986969,19.04188728500001,65.554901,-23.92
Greece,2017,,-3.40702,21.076709,15.652996060000008,23.473396300000005,19.563196180000013,65.252638,-25.524
Greece,2018,14.80508214,-2.757444,22.368198000000007,15.89999771,25.799999230000005,20.849998470000003,65.584286,-24.506
Greece,2019,,-3.387765999999999,21.672104000000004,15.555191040000004,25.73670959,20.645950315000007,66.410969,-27.418000000000006
Greece,2020,,-3.568920000000002,20.364884,16.20555497,23.28958511,19.74757004,63.196184,-29.744
Greece,2021,,-3.0678370000000044,20.991260999999994,15.019687649999996,22.24360275,18.631645199999987,65.202035,-36.482
Greece,2022,14.74222892,-4.096401,21.86550499999999,15.60187149,24.62908173,20.11547661,67.463458,-35.198
Greece,2023,15.01991997,-4.826318739999998,20.79088593000001,14.680541990000002,27.84607696,21.263309475,68.380893,-40.226
Hungary,2010,16.51276848,-4.859234000000001,11.720336999999994,11.736148839999998,7.461540220000003,9.598844529999994,63.866377,-32.93600000000001
Hungary,2011,16.31912167,-4.796904000000001,12.744854000000004,11.898189539999995,17.2423935,14.57029151999999,64.322345,-23.986000000000004
Hungary,2012,20.01431435,-5.772044999999999,12.648692999999994,11.477012630000004,15.07513428,13.276073455000002,63.343408,-31.484
Hungary,2013,18.41246031,-6.143257000000002,13.379241,12.341579440000004,17.67015074999999,15.005865094999995,64.190963,-26.379999999999995
Hungary,2014,15.09044194,-6.097715000000001,13.903816,12.56510162,21.2040329,16.884567259999997,66.203402,-27.324
Hungary,2015,17.35471095,-6.279271000000001,14.656914,12.933719639999993,20.072433470000007,16.503076555000007,67.536519,-30.104000000000006
Hungary,2016,17.19342849,-6.347248,14.567977999999997,13.409252169999997,16.86705017,15.138151169999986,68.597072,-33.388000000000005
Hungary,2017,15.34988187,-5.9854720000000015,15.712936999999997,14.077545160000014,10.798873900000004,12.438209530000025,70.163467,-32.798
Hungary,2018,13.73229971,-6.863705,15.500267000000008,14.099998470000005,14.0,14.049999235,72.967558,-37.37200000000001
Hungary,2019,18.57943254,-8.657643,16.003287999999998,14.951042180000002,7.1929244999999895,11.071983339999989,75.924978,-39.12799999999999
Hungary,2020,17.61490601,-8.302131999999997,16.49239399999999,10.713653559999996,10.99498749,10.854320524999991,76.143172,-36.962
Hungary,2021,17.92277183,-9.013165,10.811935000000004,9.935707089999994,9.510673530000004,9.723190310000009,77.419421,-35.111999999999995
Hungary,2022,18.95054372,-9.102455139999996,10.116851799999992,9.501647950000006,9.649383549999996,9.575515750000008,78.821559,-28.78
Hungary,2023,19.03270009,-9.80842781,9.326477049999994,8.724296570000007,15.431953430000007,12.078125,77.459799,-32.175999999999995
Iceland,2010,19.20892767,-10.205809000000002,6.578452999999996,5.751441959999994,5.613227839999993,5.6823348999999865,126.452766,-38.72800000000001
